Tickers
ELPW
EONR
MDCX
GLXY
ASST
IBRX
SLS
MARA
AMSC
CRDO
S
TERN
SM
AXTI
NBIS
BFLY
NKTR
INTA
RXRX
HIMS
PRCT
CCC
BL
OMDA
TNDM
TTD
LB
VICR
HUBS
VG
TEAM
BNAI
LSTR
GSIW
MANE
WRBY
ASAN
OPEN
FRSH
KOS
TALO
CRGY
CGON
APP
VRNS
NUTX
CAVA
NTSK
Q
GWRE
PATH
CRL
CIGI
OSCR
MNDY
FORM
MSTR
IESC
ODD
ANAB
SOLS
SEZL
FSLY
PRSO
WIX
UI
NBR
PARR
RIG
SPOT
DDD
TYL
DOCU
HNGE
IPGP
WGS
BWIN
ORIC
COIN
RDW
INTU
ALIT
CRCL
BLSH
LITE
BRZE
VAL
KRMN
FDS
SITM
SE
ICLR
BITF
LINC
TNGX
ACRS
SNOW
AESI
GLBE
VIAV
SBET
GFS
RGTI
COHR
TYRA
CAMP
PINS
TDW
IRON
VKTX
AI
DFTX
ETOR
TPL
BILL
IRDM
EXPE
RXO
PCOR
DAWN
TDOC
CIEN
NET
TTMI
ETSY
CRWD
MOH
TOST
TENB
CIIT
U
WULF
ZD
BMNR
MDB
PEGA
IONQ
XYZ
SAIL
TALK
AGX
LUNR
CRSP
SPSC
LASR
PUMP
ECG
TARS
ADEA
ALKT
DAVE
YOU
IOT
FLYW
GLW
ICHR
CLMT
FIG
DK
FIX
GLOB
AXON
CVI
NVAX
NTLA
PAYC
PL
RNG
CORT
DYN
KVYO
WDAY
ISSC
TXG
VSAT
TWLO
AVBP
AEVA
NCNO
FIGS
CCCC
RBRK
PURR
ZETA
GCT
CZR
CLDX
OCUL
AEIS
BKSY
SYRE
HURN
DRS
OLMA
SGHC
LION
CHRW
PENN
LAES
TE
MRNA
OIS
WOLF
STRL
VAC
ONDS
KD
TRVI
GNRC
RLAY
RELY
WAY
PDYN
RCAT
AMPX
WLK
UCTT
FROG
SG
SNDX
DDOG
FN
APGE
SOUN
VIR
MTZ
GPRE
TECX
SAFX
LQDA
VRT
AMN
KALV
SHOP
ACHC
WTI
WD
BETA
IOVA
PLUG
PD
RSI
RIVN
GRAL
NXE
RAPP
FIGR
TRI
DNTH
INDO
RIOT
VERX
RCUS
ROKU
LXU
FPS
ATAI
SOC
CMPS
LRMR
SA
RLMD
AUR
MRCY
CCOI
SSRM
DJCO
CHYM
UAMY
OUST
PPTA
SKE
CENX
AZI
SLDB
AEHR
HYMC
AGI
RGNX
PROP
UAN
ATRA
REPL
AUGO
EYPT
OII
TTAN
SVM
CLPT
EDSA
ALM
FSM
PAR
NGD
CDE
ERAS
IAG
IPI
NG
BAK
UMAC
SLNO
POET
QURE
USAS
AG
EQX
CAPR
AAOI
RNAC
STOK
AGH
ANTX
ASPI
PVLA
ASNS
OLOX
DXST
TURB
MOBX
TPET
DTCK
ALOY
BATL
LRHC
BW
