Tickers
STAK
EONR
RXT
GLXY
ASST
IBRX
SNDK
SLS
SEDG
MARA
AMSC
CRDO
TSEM
TERN
SM
AXTI
NBIS
BFLY
ASTH
BYND
NKTR
INTA
RXRX
HIMS
PRCT
DIOD
VOYG
CHWY
ENPH
TNDM
GEO
LB
VICR
CIFR
ONTO
CAI
HUBS
VG
BNAI
STAA
LSTR
WRBY
OPEN
FRSH
CLSK
KOS
CRGY
CWK
CGON
APP
NUTX
CAVA
UTI
KYMR
Q
GWRE
MAX
CRL
CIGI
OSCR
APPN
JLL
SMTC
FORM
MSTR
IESC
SAIA
MLCO
CALX
SOLS
SEZL
KLIC
COUR
FSLY
CERT
WIX
GDRX
PBF
UI
NBR
RIG
SPOT
MORN
TYL
HNGE
IPGP
NVTS
BWIN
COIN
RDW
DELL
INTU
ALIT
CRCL
BLSH
LITE
BRZE
VAL
KRMN
WTTR
FDS
SITM
USEG
ICLR
BITF
LINC
MTSI
XP
LGN
GLBE
VIAV
SBET
ARLO
GFS
INSP
RGTI
COHR
TYRA
ARM
TRU
PINS
GSHD
NN
IRON
VKTX
ETOR
NVCR
TPL
BILL
IRDM
RXO
FLEX
PCOR
BORR
TDOC
CIEN
ALMU
WBI
TTMI
CSTM
CEG
ETSY
LIF
MOH
WULF
BTBT
ZD
BMNR
TER
PEGA
IONQ
XYZ
AGX
BLBD
LUNR
CRSP
LBRT
LASR
PUMP
ECG
TARS
CARG
ADEA
ALKT
DAVE
ESTA
YOU
IOT
HUT
FLYW
CPNG
GLW
ICHR
FIG
DK
ARCB
XPO
FIX
GLOB
AXON
TDC
NESR
NVAX
NTLA
PAYC
PL
LSCC
CC
RNG
CORT
UAA
PRAA
KVYO
ISSC
TXG
VSAT
TWLO
PSKY
YSS
NEXT
ALMS
IDCC
AEVA
NCNO
FIGS
RLYB
CCCC
PURR
ZETA
GCT
FTRE
CZR
HSAI
CLDX
OCUL
AEIS
GERN
BKSY
SYRE
HURN
REI
DRS
SGHC
LION
CHRW
DV
RZLV
USAR
PENN
ENTG
TE
MRNA
WOLF
AGIG
STRL
VECO
ONDS
KD
BEAM
BE
BANL
RARE
ENOV
FA
FRMI
GNRC
MOD
RLAY
RELY
WAY
RCAT
AMPX
WLK
UCTT
ACHR
FROG
OMCL
FN
RAMP
ROAD
POWL
APGE
XRAY
SOUN
VIR
CAMT
MTZ
GPRE
VRT
VSEC
AMN
ACHC
WTI
BETA
IOVA
AMLX
LAR
RSI
DY
GRAL
NXE
CRML
PCVX
FIGR
TRI
GOLD
DNTH
INDO
RIOT
RCUS
CNTA
ROKU
MGNI
LAC
ARIS
SOC
NNE
RCKT
SA
TDUP
AUR
MRCY
HROW
BVN
TMDE
LPTH
CCOI
ERO
SSRM
HL
NEXA
CHYM
STUB
MP
DNN
UAMY
OUST
CGAU
BTG
OLN
PPTA
MUX
SKE
CRAI
CENX
VNDA
AEHR
EGO
SCCO
HYMC
AGI
ATRO
UUUU
TGB
SABR
AUGO
EYPT
OII
FTAI
PSIX
TTAN
SVM
PAAS
ALM
RYDE
FSM
NGD
CDE
VIA
ERAS
IAG
SGML
NG
VZLA
EXK
UMAC
TRX
SLNO
POET
QURE
USAS
AG
EQX
AAOI
STOK
VELO
PVLA
GAU
TURB
TPET
RBNE
ALOY
BATL
