ticker,review_bucket,review_rationale,active_governed_membership_count,governed_membership_count,themes,categories,current_ranking_eligibility_reason,primary_ineligibility_bucket,coverage_status,symbol_status,manual_suppressed,manual_suppression_reason,snapshot_present,has_current_usable_snapshot,snapshot_time,snapshot_source,price,avg_volume,dollar_volume,price_valid,avg_volume_valid,dollar_volume_valid,perf_1d,perf_1w,perf_1m,perf_3m,last_failure_category,consecutive_failure_count,rolling_failure_count,last_failure_at,last_success_at,special_format_ticker,governance_cleanup_flag,near_price_threshold_flag,borderline_dollar_volume_flag,threshold_review_flag
FUSE,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 13,798,151; price 1.97",1,1,AI - Agentic,Artificial Intelligence,"dollar volume invalid: 13,798,151 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,1.97,7004137.3532,13798150.585804,True,True,False,11.93,9.44,38.73,20.12,,0,1,2026-04-15 17:15:53.223958,2026-04-21 14:24:32.261661,False,False,False,True,False
GLNCY,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 12,123,817; price 14.65",1,1,Diversified Mining,Metals & Mining,"dollar volume invalid: 12,123,817 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,14.65,827564.2857142857,12123816.785714284,True,True,False,-1.68,-4.25,6.7,12.95,,0,1,2026-04-15 17:15:53.470298,2026-04-21 14:24:37.352019,True,False,False,True,False
HLX,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 13,940,918; price 9.38",1,1,Oil - Offshore Services,Energy - Oil & Gas,"dollar volume invalid: 13,940,918 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,9.38,1486238.594322619,13940918.014746169,True,True,False,2.74,-0.21,-2.19,33.05,,0,1,2026-04-15 17:15:54.052438,2026-04-21 14:24:49.496534,False,False,False,True,False
IIPR,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 14,651,550; price 52.85",2,2,"Cannabis, REITs - Industrial","Specialty Themes, Financials - REITs","dollar volume invalid: 14,651,550 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,52.85,277228.9433237143,14651549.6546583,True,True,False,-0.62,3.26,2.4,6.02,,0,1,2026-04-15 17:15:54.424538,2026-04-21 14:24:57.093045,False,False,False,True,False
ISSC,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 13,693,281; price 20.57",2,2,"Aerospace - Suppliers, Defense - Electronics","Space & Aerospace, Defense","dollar volume invalid: 13,693,281 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,20.57,665691.855305,13693281.46362385,True,True,False,-2.74,-15.97,-28.23,-3.92,,0,1,2026-04-15 17:15:54.781144,2026-04-21 14:25:05.603433,False,False,False,True,False
JKS,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 14,219,617; price 20.47",1,1,Solar - Manufacturers,Energy - Clean,"dollar volume invalid: 14,219,617 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,20.47,694656.4273593334,14219617.068045553,True,True,False,-4.7,-15.17,-12.52,-20.75,,0,1,2026-04-15 17:15:54.965675,2026-04-21 14:25:09.596656,False,False,False,True,False
LTC,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 14,244,404; price 38.7",1,1,REITs - Healthcare,Financials - REITs,"dollar volume invalid: 14,244,404 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,38.7,368072.4672633333,14244404.483091,True,True,False,-0.95,-1.7,5.91,3.23,,0,1,2026-04-15 17:15:55.827985,2026-04-21 14:25:27.629905,False,False,False,True,False
MQ,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 12,993,695; price 4.43",1,1,Fintech - Payments,Financials - Other,"dollar volume invalid: 12,993,695 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,4.43,2933114.049659333,12993695.239990843,True,True,False,-0.67,9.11,8.58,2.78,,0,1,2026-04-15 17:15:56.577291,2026-04-21 14:25:42.707651,False,False,False,True,False
PKX,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 12,814,567; price 69.12",1,1,Steel,Metals & Mining,"dollar volume invalid: 12,814,567 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,69.12,185395.9372830476,12814567.185004251,True,True,False,3.1,10.57,24.14,15.07,,0,1,2026-04-15 17:15:58.149652,2026-04-21 14:26:16.263112,False,False,False,True,False
RPD,borderline dollar-volume miss,"within 20% of current $15M dollar-volume floor; dollar volume 13,468,634; price 6.34",1,1,Cybersecurity,Technology - Software,"dollar volume invalid: 13,468,634 < 15,000,000",dollar volume invalid,current but ineligible,active,False,,True,True,2026-04-21 14:27:50.061165,live,6.34,2124390.240421952,13468634.124275176,True,True,False,8.75,18.5,0.48,-49.32,,0,1,2026-04-15 17:15:59.166898,2026-04-21 14:26:36.984105,False,False,False,True,False
