ticker,operator_group,operator_rationale,themes,categories,price,avg_volume,dollar_volume,dv_pct_of_threshold,dv_gap,dv_gap_pct_of_threshold,volume_profile,perf_1d,perf_1w,perf_1m,perf_3m,current_ranking_eligibility_reason,review_rationale
RPD,numerically borderline but still weak/undesirable,"recent performance tape is weak; dollar volume 13,468,634 (89.8% of threshold); gap to threshold 1,531,366; price 6.34; avg volume 2,124,390",Cybersecurity,Technology - Software,6.34,2124390.240421952,13468634.124275176,89.7908941618345,1531365.8757248241,10.209105838165494,mid_profile,8.75,18.5,0.48,-49.32,"dollar volume invalid: 13,468,634 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,468,634; price 6.34"
MQ,numerically borderline but still weak/undesirable,"borderline driven by lower-price / more speculative profile; dollar volume 12,993,695 (86.6% of threshold); gap to threshold 2,006,305; price 4.43; avg volume 2,933,114",Fintech - Payments,Financials - Other,4.43,2933114.049659333,12993695.239990843,86.62463493327229,2006304.7600091565,13.37536506672771,low_price_high_turnover,-0.67,9.11,8.58,2.78,"dollar volume invalid: 12,993,695 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 12,993,695; price 4.43"
CLOV,numerically borderline but still weak/undesirable,"borderline driven by lower-price / more speculative profile; dollar volume 12,849,850 (85.7% of threshold); gap to threshold 2,150,150; price 2.39; avg volume 5,376,506","Diagnostics & Labs, High Short Interest, Meme Stocks","Healthcare - Devices & Services, Specialty Themes",2.39,5376506.4793008575,12849850.48552905,85.665669903527,2150149.51447095,14.334330096473,low_price_high_turnover,7.17,17.16,26.46,-7.72,"dollar volume invalid: 12,849,850 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 12,849,850; price 2.39"
DRUG,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 14,815,134 (98.8% of threshold); gap to threshold 184,866; price 87.42; avg volume 169,471",Psychedelics,Specialty Themes,87.42,169470.76414133335,14815134.20123536,98.76756134156906,184865.79876464047,1.2324386584309364,high_price_low_turnover,-3.71,-1.93,22.06,5.33,"dollar volume invalid: 14,815,134 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 14,815,134; price 87.42"
IIPR,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 14,651,550 (97.7% of threshold); gap to threshold 348,450; price 52.85; avg volume 277,229","Cannabis, REITs - Industrial","Specialty Themes, Financials - REITs",52.85,277228.9433237143,14651549.6546583,97.676997697722,348450.3453416992,2.323002302277995,high_price_low_turnover,-0.62,3.26,2.4,6.02,"dollar volume invalid: 14,651,550 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 14,651,550; price 52.85"
BLMN,strongest future threshold-policy review cases,"very close to current threshold; dollar volume 14,353,251 (95.7% of threshold); gap to threshold 646,749; price 6.49; avg volume 2,211,595",Restaurants - Fast Casual,Consumer - Restaurants,6.49,2211594.920496238,14353251.034020584,95.68834022680389,646748.9659794159,4.311659773196106,mid_profile,-2.7,1.25,11.51,-13.0,"dollar volume invalid: 14,353,251 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 14,353,251; price 6.49"
APPN,strongest future threshold-policy review cases,"very close to current threshold; dollar volume 14,317,611 (95.5% of threshold); gap to threshold 682,389; price 21.06; avg volume 679,849",Software - Low Code,Technology - Software,21.06,679848.5882053333,14317611.26760432,95.45074178402879,682388.7323956806,4.549258215971204,mid_profile,-3.13,1.74,-16.82,-25.66,"dollar volume invalid: 14,317,611 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 14,317,611; price 21.06"
LTC,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 14,244,404 (95.0% of threshold); gap to threshold 755,596; price 38.7; avg volume 368,072",REITs - Healthcare,Financials - REITs,38.7,368072.4672633333,14244404.483091,94.96269655394,755595.5169089995,5.0373034460599975,high_price_low_turnover,-0.95,-1.7,5.91,3.23,"dollar volume invalid: 14,244,404 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 14,244,404; price 38.7"
CCS,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 14,142,616 (94.3% of threshold); gap to threshold 857,384; price 63.81; avg volume 221,636",Homebuilders - Mid,Real Estate - Non REIT,63.81,221636.3643309048,14142616.407955036,94.2841093863669,857383.5920449644,5.715890613633096,high_price_low_turnover,0.77,5.77,14.64,-3.7,"dollar volume invalid: 14,142,616 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 14,142,616; price 63.81"
STC,strongest future threshold-policy review cases,"borderline mainly because of low share turnover at higher price; dollar volume 13,552,474 (90.3% of threshold); gap to threshold 1,447,526; price 67.25; avg volume 201,524",Insurance - Title,Financials - Insurance,67.25,201523.78190261903,13552474.332951132,90.34982888634087,1447525.6670488678,9.650171113659118,high_price_low_turnover,0.61,3.7,17.18,3.43,"dollar volume invalid: 13,552,474 < 15,000,000","within 20% of current $15M dollar-volume floor; dollar volume 13,552,474; price 67.25"
